emp_no,first_name,last_name,gender,birth_date,from_date,to_date
10095,Hilari,Morton,M,1965-01-03,1994-03-10,9999-01-01
10122,Ohad,Esposito,M,1965-01-19,1998-08-06,9999-01-01
10291,Dipayan,Seghrouchni,M,1965-01-23,1987-03-30,9999-01-01
10476,Kokou,Iisaka,M,1965-01-01,1987-09-20,9999-01-01
10663,Teunis,Noriega,M,1965-01-09,1999-02-12,9999-01-01
10762,Lech,Himler,M,1965-01-19,1992-01-21,9999-01-01
10933,Juyoung,Seghrouchni,F,1965-01-24,1993-08-02,9999-01-01
12155,Keiichiro,Glinert,M,1965-01-21,1993-09-16,9999-01-01
12408,Rasiah,Sudkamp,M,1965-01-10,1995-04-18,9999-01-01
12643,Morrie,Schurmann,F,1965-01-30,1998-12-31,9999-01-01
13499,Kazuhiko,Sidou,M,1965-01-16,1991-09-01,9999-01-01
14075,Denny,Tchuente,M,1965-01-03,1991-05-30,9999-01-01
14104,Sudhanshu,Demian,M,1965-01-03,1994-07-23,9999-01-01
14127,Magdalena,Cannard,F,1965-01-10,1994-04-22,9999-01-01
14158,Caolyn,Setiz,F,1965-01-22,1990-02-06,9999-01-01
14476,Sastry,Marrevee,M,1965-01-19,1999-09-25,9999-01-01
14907,Nakhoon,Luga,M,1965-01-14,1986-12-18,9999-01-01
15050,Nikolaos,Kruskal,M,1965-01-18,1990-12-17,9999-01-01
15058,Bouchung,Bugrara,M,1965-01-30,1990-06-18,9999-01-01
15413,Arvin,Rabejac,M,1965-01-17,1994-01-01,9999-01-01
16461,Remmert,Schahn,M,1965-01-14,1986-09-06,9999-01-01
16528,Gaurav,Swick,F,1965-01-21,1996-05-07,9999-01-01
17013,Morris,Garigliano,M,1965-01-15,1995-05-24,9999-01-01
17206,Berry,DeMori,M,1965-01-02,1992-12-27,9999-01-01
17369,Yaghout,Kenevan,M,1965-01-31,2000-09-15,9999-01-01
17447,Zengping,Boreale,F,1965-01-11,1998-12-16,9999-01-01
17731,Gennady,Roison,M,1965-01-16,1989-12-06,9999-01-01
17970,Filipp,Carrere,M,1965-01-06,1989-01-09,9999-01-01
17988,Mabhin,Calkin,M,1965-01-31,1989-11-30,9999-01-01
18021,Adil,Matzke,M,1965-01-07,1987-05-08,9999-01-01
18424,Filipp,Rousseau,M,1965-01-19,1995-06-07,9999-01-01
18583,Stafford,Honglei,F,1965-01-03,1998-08-16,9999-01-01
18617,Surveyors,Crouzet,M,1965-01-21,1989-04-24,9999-01-01
18810,Taiji,Jarecki,M,1965-01-09,1991-06-27,9999-01-01
19236,Elzbieta,Morris,F,1965-01-24,1988-07-12,9999-01-01
19350,Satoru,Yoshizawa,M,1965-01-19,1994-03-27,9999-01-01
19803,Ziva,Kowalchuk,F,1965-01-30,1987-06-13,9999-01-01
20100,Utz,Heuter,F,1965-01-18,1986-06-15,9999-01-01
20128,Kazunori,Peak,F,1965-01-23,1999-08-13,9999-01-01
20129,Rafael,Skafidas,M,1965-01-10,1991-03-28,9999-01-01
20248,Vidar,Demri,M,1965-01-12,1999-12-31,9999-01-01
20313,Candida,Benveniste,M,1965-01-24,1999-01-20,9999-01-01
20500,Christoph,Trystram,M,1965-01-30,1993-10-15,9999-01-01
20885,Otmar,Rothenberg,M,1965-01-21,1989-03-14,9999-01-01
21181,Jianhui,Cangellaris,F,1965-01-21,1991-10-06,9999-01-01
21188,Piyush,Danecki,F,1965-01-21,2000-01-08,9999-01-01
21546,Yongmin,Lanteri,F,1965-01-01,2002-03-19,9999-01-01
21843,Karsten,Azadmanesh,M,1965-01-09,1985-11-29,9999-01-01
21909,Mohammed,Brizzi,M,1965-01-04,1991-12-28,9999-01-01
22185,Huai,Birch,M,1965-01-29,2002-06-12,9999-01-01
22415,Perla,Jumpertz,M,1965-01-20,1994-08-24,9999-01-01
22451,Jasminko,Bresenham,M,1965-01-27,1994-01-19,9999-01-01
22455,Barry,Unno,F,1965-01-06,1990-11-16,9999-01-01
22926,Manibrata,Genther,M,1965-01-01,1988-01-15,9999-01-01
23396,Hilari,Fairtlough,F,1965-01-02,1986-12-15,9999-01-01
24080,Jaana,Perez,F,1965-01-26,1996-03-11,9999-01-01
24205,Roddy,Rubsam,F,1965-01-25,1993-09-19,9999-01-01
24377,Lubomir,Wroclawski,F,1965-01-25,1993-07-25,9999-01-01
24394,Zhonghui,Conta,M,1965-01-04,1994-09-10,9999-01-01
24553,Anwar,Passafiume,M,1965-01-12,1987-01-30,9999-01-01
24571,Cordelia,Gischer,F,1965-01-20,1989-03-14,9999-01-01
25488,Ingmar,Basawa,M,1965-01-19,1991-11-09,9999-01-01
26629,Nevin,Rodham,M,1965-01-28,1998-12-14,9999-01-01
26671,Jiakeng,Kalorkoti,F,1965-01-21,1994-12-25,9999-01-01
26788,Zongyan,Dalphin,M,1965-01-25,1988-04-23,9999-01-01
27331,Wanqing,Krohm,F,1965-01-19,1991-01-22,9999-01-01
27378,Piyawadee,Leppanen,M,1965-01-28,1999-02-25,9999-01-01
27620,Shuji,Kandlur,M,1965-01-25,1990-03-02,9999-01-01
27686,Manu,Rosiles,M,1965-01-28,1998-03-03,9999-01-01
27699,Falguni,Pezzoli,F,1965-01-15,1996-12-23,9999-01-01
27767,Tooru,Veldwijk,F,1965-01-27,1993-11-21,9999-01-01
28193,Xinglin,Mitsuhashi,M,1965-01-29,1988-12-14,9999-01-01
28974,Chenxi,Sundgren,F,1965-01-09,1986-09-02,9999-01-01
28988,Tua,Giveon,M,1965-01-18,1998-09-09,9999-01-01
29130,Xumin,Thorensen,F,1965-01-06,1998-04-26,9999-01-01
29265,Gilbert,Calkin,M,1965-01-14,1988-03-21,9999-01-01
29380,Satoru,Vidal,F,1965-01-30,1998-05-02,9999-01-01
29418,Valery,Mersereau,M,1965-01-22,1998-07-01,9999-01-01
29679,Kolar,Steenbeek,M,1965-01-17,1986-10-18,9999-01-01
29782,Jouko,Hellwagner,M,1965-01-29,2000-10-23,9999-01-01
29954,Pranay,Giarratana,F,1965-01-27,1992-09-29,9999-01-01
30007,Kousuke,Vecchio,F,1965-01-24,1990-02-23,9999-01-01
30035,Tetsushi,Conta,M,1965-01-08,1995-07-04,9999-01-01
30154,Mayuko,Skafidas,M,1965-01-26,1999-04-19,9999-01-01
30182,Leon,Potthoff,M,1965-01-26,1985-12-08,9999-01-01
30465,Randi,Avouris,M,1965-01-28,1986-07-16,9999-01-01
30484,Sailaja,Chvatal,M,1965-01-11,1999-05-18,9999-01-01
30695,Gudjon,Majewski,M,1965-01-08,1999-10-26,9999-01-01
30938,Yakkov,Samarati,F,1965-01-06,1997-10-10,9999-01-01
31147,Divine,Sidhu,M,1965-01-04,1989-07-05,9999-01-01
31188,Leandro,Gist,M,1965-01-12,1993-02-03,9999-01-01
